0.385   -38.5402
0.48   -33.0528
0.575   -32.1712
0.67   -32.7089
0.765   -32.4304
0.86   -32.2306
0.955   -31.8648
1.05   -31.4661
1.145   -31.0697
1.24   -30.7419
1.335   -30.5341
1.43   -30.4867
1.525   -30.6213
1.62   -30.9355
1.715   -31.3981
1.81   -31.9454
1.905   -32.4791
2   -32.8707
2.095   -32.968
2.19   -32.6138
2.285   -31.6669
2.38   -30.026
2.475   -27.6527
2.57   -24.5809
2.665   -20.9156
2.76   -16.817
2.855   -12.4752
2.95   -8.08297
3.045   -3.81286
3.14   0.199354
3.235   3.86152
3.33   7.12205
3.425   9.96479
3.52   12.4008
3.615   14.4577
3.71   16.1743
3.805   17.5927
3.9   18.7557
3.995   19.7039
4.09   20.4729
4.185   21.0942
4.28   21.5949
4.375   21.9978
4.47   22.3216
4.565   22.5819
4.66   22.7915
4.755   22.9603
4.85   23.0962
4.945   23.2062
5.04   23.2952
5.135   23.3668
5.23   23.425
5.325   23.4713
5.42   23.5084
5.515   23.5371
5.61   23.5587
5.705   23.5745
5.8   23.5844
5.895   23.5899
5.99   23.5904
6.085   23.5864
6.18   23.5783
6.275   23.5661
6.37   23.5501
6.465   23.5311
6.56   23.5088
6.655   23.484
6.75   23.4569
6.845   23.4276
6.94   23.3974
7.035   23.3657
7.13   23.3339
7.225   23.3019
7.32   23.2699
7.415   23.2393
7.51   23.2092
7.605   23.181
7.7   23.1543
7.795   23.1302
7.89   23.1082
7.985   23.0883
8.08   23.0706
8.175   23.0556
8.27   23.0428
8.365   23.0326
8.46   23.0247
8.555   23.0192
8.65   23.0162
8.745   23.0154
8.84   23.017
8.935   23.0206
9.03   23.0264
9.125   23.0335
9.22   23.0412
9.315   23.0482
9.41   23.0492
9.505   23.0192
