	# r     V(p)     V(n)     m*(p)/m     m*(n)/m    VC 
   0.60000E+01  -0.13774E+01  -0.15110E+01  -0.60190E-01  -0.60057E-01   0.46800E+01
   0.61000E+01  -0.11035E+01  -0.12189E+01  -0.47235E-01  -0.47120E-01   0.46099E+01
   0.62000E+01  -0.88396E+00  -0.98350E+00  -0.37100E-01  -0.37000E-01   0.45417E+01
   0.63000E+01  -0.70823E+00  -0.79385E+00  -0.29169E-01  -0.29083E-01   0.44752E+01
   0.64000E+01  -0.56764E+00  -0.64115E+00  -0.22960E-01  -0.22886E-01   0.44105E+01
   0.65000E+01  -0.45518E+00  -0.51820E+00  -0.18095E-01  -0.18032E-01   0.43474E+01
   0.66000E+01  -0.36523E+00  -0.41918E+00  -0.14280E-01  -0.14226E-01   0.42860E+01
   0.67000E+01  -0.29326E+00  -0.33940E+00  -0.11285E-01  -0.11238E-01   0.42261E+01
   0.68000E+01  -0.23566E+00  -0.27507E+00  -0.89300E-02  -0.88904E-02   0.41678E+01
   0.69000E+01  -0.18954E+00  -0.22317E+00  -0.70768E-02  -0.70431E-02   0.41109E+01
   0.70000E+01  -0.15257E+00  -0.18125E+00  -0.56162E-02  -0.55875E-02   0.40555E+01
   0.71000E+01  -0.12292E+00  -0.14737E+00  -0.44634E-02  -0.44391E-02   0.40014E+01
   0.72000E+01  -0.99131E-01  -0.11995E+00  -0.35523E-02  -0.35316E-02   0.39486E+01
   0.73000E+01  -0.80018E-01  -0.97742E-01  -0.28311E-02  -0.28136E-02   0.38971E+01
   0.74000E+01  -0.64650E-01  -0.79734E-01  -0.22595E-02  -0.22447E-02   0.38469E+01
   0.75000E+01  -0.52284E-01  -0.65115E-01  -0.18058E-02  -0.17933E-02   0.37979E+01
   0.76000E+01  -0.42323E-01  -0.53234E-01  -0.14452E-02  -0.14346E-02   0.37500E+01
   0.77000E+01  -0.34291E-01  -0.43568E-01  -0.11581E-02  -0.11491E-02   0.37033E+01
   0.78000E+01  -0.27810E-01  -0.35694E-01  -0.92927E-03  -0.92168E-03   0.36577E+01
   0.79000E+01  -0.22574E-01  -0.29275E-01  -0.74661E-03  -0.74020E-03   0.36131E+01
   0.80000E+01  -0.18341E-01  -0.24035E-01  -0.60061E-03  -0.59520E-03   0.35695E+01
   0.81000E+01  -0.14915E-01  -0.19752E-01  -0.48376E-03  -0.47920E-03   0.35269E+01
   0.82000E+01  -0.12140E-01  -0.16249E-01  -0.39012E-03  -0.38627E-03   0.34853E+01
   0.83000E+01  -0.98899E-02  -0.13380E-01  -0.31498E-03  -0.31173E-03   0.34447E+01
   0.84000E+01  -0.80638E-02  -0.11029E-01  -0.25461E-03  -0.25187E-03   0.34049E+01
   0.85000E+01  -0.65805E-02  -0.90989E-02  -0.20604E-03  -0.20374E-03   0.33660E+01
   0.86000E+01  -0.53746E-02  -0.75137E-02  -0.16693E-03  -0.16499E-03   0.33279E+01
   0.87000E+01  -0.43933E-02  -0.62102E-02  -0.13539E-03  -0.13375E-03   0.32906E+01
   0.88000E+01  -0.35941E-02  -0.51374E-02  -0.10993E-03  -0.10855E-03   0.32542E+01
   0.89000E+01  -0.29426E-02  -0.42536E-02  -0.89345E-04  -0.88185E-04   0.32185E+01
   0.90000E+01  -0.24112E-02  -0.35248E-02  -0.72693E-04  -0.71716E-04   0.31836E+01
   0.91000E+01  -0.19773E-02  -0.29233E-02  -0.59205E-04  -0.58382E-04   0.31494E+01
   0.92000E+01  -0.16227E-02  -0.24264E-02  -0.48267E-04  -0.47575E-04   0.31159E+01
   0.93000E+01  -0.13327E-02  -0.20155E-02  -0.39388E-04  -0.38806E-04   0.30830E+01
   0.94000E+01  -0.10954E-02  -0.16756E-02  -0.32173E-04  -0.31683E-04   0.30509E+01
   0.95000E+01  -0.90094E-03  -0.13940E-02  -0.26305E-04  -0.25892E-04   0.30194E+01
   0.96000E+01  -0.74158E-03  -0.11606E-02  -0.21526E-04  -0.21179E-04   0.29885E+01
   0.97000E+01  -0.61084E-03  -0.96698E-03  -0.17632E-04  -0.17339E-04   0.29582E+01
   0.98000E+01  -0.50351E-03  -0.80623E-03  -0.14455E-04  -0.14208E-04   0.29285E+01
   0.99000E+01  -0.41533E-03  -0.67267E-03  -0.11860E-04  -0.11653E-04   0.28994E+01
   0.10000E+02  -0.34283E-03  -0.56162E-03  -0.97397E-05  -0.95653E-05   0.28709E+01
   0.10100E+02  -0.28318E-03  -0.46922E-03  -0.80050E-05  -0.78582E-05   0.28429E+01
   0.10200E+02  -0.23406E-03  -0.39227E-03  -0.65847E-05  -0.64611E-05   0.28154E+01
   0.10300E+02  -0.19359E-03  -0.32815E-03  -0.54207E-05  -0.53166E-05   0.27884E+01
   0.10400E+02  -0.16023E-03  -0.27468E-03  -0.44660E-05  -0.43784E-05   0.27619E+01
   0.10500E+02  -0.13270E-03  -0.23006E-03  -0.36823E-05  -0.36085E-05   0.27360E+01
   0.10600E+02  -0.10997E-03  -0.19281E-03  -0.30384E-05  -0.29763E-05   0.27105E+01
   0.10700E+02  -0.91191E-04  -0.16168E-03  -0.25090E-05  -0.24567E-05   0.26854E+01
   0.10800E+02  -0.75667E-04  -0.13566E-03  -0.20734E-05  -0.20293E-05   0.26608E+01
   0.10900E+02  -0.62825E-04  -0.11389E-03  -0.17146E-05  -0.16775E-05   0.26367E+01
   0.11000E+02  -0.52194E-04  -0.95663E-04  -0.14189E-05  -0.13876E-05   0.26130E+01
   0.11100E+02  -0.43389E-04  -0.80398E-04  -0.11750E-05  -0.11487E-05   0.25897E+01
   0.11200E+02  -0.36090E-04  -0.67604E-04  -0.97375E-06  -0.95155E-06   0.25667E+01
   0.11300E+02  -0.30037E-04  -0.56875E-04  -0.80748E-06  -0.78877E-06   0.25442E+01
   0.11400E+02  -0.25014E-04  -0.47873E-04  -0.67005E-06  -0.65427E-06   0.25221E+01
   0.11500E+02  -0.20843E-04  -0.40316E-04  -0.55637E-06  -0.54307E-06   0.25004E+01
   0.11600E+02  -0.17378E-04  -0.33968E-04  -0.46227E-06  -0.45105E-06   0.24790E+01
   0.11700E+02  -0.14497E-04  -0.28634E-04  -0.38432E-06  -0.37487E-06   0.24580E+01
   0.11800E+02  -0.12100E-04  -0.24148E-04  -0.31972E-06  -0.31174E-06   0.24373E+01
   0.11900E+02  -0.10106E-04  -0.20375E-04  -0.26613E-06  -0.25941E-06   0.24169E+01
