# r     V(p)     V(n)     m*(p)/m     m*(n)/m    VC 
   0.63000E+01  -0.12325E-01  -0.12325E-01   0.00000E+00   0.00000E+00   0.18284E+01
   0.64000E+01  -0.96640E-02  -0.96640E-02   0.00000E+00   0.00000E+00   0.17998E+01
   0.65000E+01  -0.75800E-02  -0.75800E-02   0.00000E+00   0.00000E+00   0.17721E+01
   0.66000E+01  -0.59474E-02  -0.59474E-02   0.00000E+00   0.00000E+00   0.17453E+01
   0.67000E+01  -0.46679E-02  -0.46679E-02   0.00000E+00   0.00000E+00   0.17192E+01
   0.68000E+01  -0.36650E-02  -0.36650E-02   0.00000E+00   0.00000E+00   0.16939E+01
   0.69000E+01  -0.28785E-02  -0.28785E-02   0.00000E+00   0.00000E+00   0.16694E+01
   0.70000E+01  -0.22615E-02  -0.22615E-02   0.00000E+00   0.00000E+00   0.16456E+01
   0.71000E+01  -0.17773E-02  -0.17773E-02   0.00000E+00   0.00000E+00   0.16224E+01
   0.72000E+01  -0.13972E-02  -0.13972E-02   0.00000E+00   0.00000E+00   0.15998E+01
   0.73000E+01  -0.10988E-02  -0.10988E-02   0.00000E+00   0.00000E+00   0.15779E+01
   0.74000E+01  -0.86439E-03  -0.86439E-03   0.00000E+00   0.00000E+00   0.15566E+01
   0.75000E+01  -0.68019E-03  -0.68019E-03   0.00000E+00   0.00000E+00   0.15359E+01
   0.76000E+01  -0.53540E-03  -0.53540E-03   0.00000E+00   0.00000E+00   0.15156E+01
   0.77000E+01  -0.42156E-03  -0.42156E-03   0.00000E+00   0.00000E+00   0.14960E+01
   0.78000E+01  -0.33203E-03  -0.33203E-03   0.00000E+00   0.00000E+00   0.14768E+01
   0.79000E+01  -0.26158E-03  -0.26158E-03   0.00000E+00   0.00000E+00   0.14581E+01
   0.80000E+01  -0.20614E-03  -0.20614E-03   0.00000E+00   0.00000E+00   0.14399E+01
   0.81000E+01  -0.16250E-03  -0.16250E-03   0.00000E+00   0.00000E+00   0.14221E+01
   0.82000E+01  -0.12813E-03  -0.12813E-03   0.00000E+00   0.00000E+00   0.14047E+01
   0.83000E+01  -0.10106E-03  -0.10106E-03   0.00000E+00   0.00000E+00   0.13878E+01
   0.84000E+01  -0.79730E-04  -0.79730E-04   0.00000E+00   0.00000E+00   0.13713E+01
   0.85000E+01  -0.62918E-04  -0.62918E-04   0.00000E+00   0.00000E+00   0.13552E+01
   0.86000E+01  -0.49664E-04  -0.49664E-04   0.00000E+00   0.00000E+00   0.13394E+01
   0.87000E+01  -0.39212E-04  -0.39212E-04   0.00000E+00   0.00000E+00   0.13240E+01
   0.88000E+01  -0.30968E-04  -0.30968E-04   0.00000E+00   0.00000E+00   0.13090E+01
   0.89000E+01  -0.24463E-04  -0.24463E-04   0.00000E+00   0.00000E+00   0.12943E+01
   0.90000E+01  -0.19329E-04  -0.19329E-04   0.00000E+00   0.00000E+00   0.12799E+01
   0.91000E+01  -0.15276E-04  -0.15276E-04   0.00000E+00   0.00000E+00   0.12658E+01
   0.92000E+01  -0.12076E-04  -0.12076E-04   0.00000E+00   0.00000E+00   0.12521E+01
   0.93000E+01  -0.95481E-05  -0.95481E-05   0.00000E+00   0.00000E+00   0.12386E+01
   0.94000E+01  -0.75512E-05  -0.75512E-05   0.00000E+00   0.00000E+00   0.12254E+01
   0.95000E+01  -0.59734E-05  -0.59734E-05   0.00000E+00   0.00000E+00   0.12125E+01
   0.96000E+01  -0.47262E-05  -0.47262E-05   0.00000E+00   0.00000E+00   0.11999E+01
   0.97000E+01  -0.37403E-05  -0.37403E-05   0.00000E+00   0.00000E+00   0.11875E+01
   0.98000E+01  -0.29606E-05  -0.29606E-05   0.00000E+00   0.00000E+00   0.11754E+01
   0.99000E+01  -0.23440E-05  -0.23440E-05   0.00000E+00   0.00000E+00   0.11635E+01
   0.10000E+02  -0.18561E-05  -0.18561E-05   0.00000E+00   0.00000E+00   0.11519E+01
   0.10100E+02  -0.14701E-05  -0.14701E-05   0.00000E+00   0.00000E+00   0.11405E+01
   0.10200E+02  -0.11646E-05  -0.11646E-05   0.00000E+00   0.00000E+00   0.11293E+01
   0.10300E+02  -0.92281E-06  -0.92281E-06   0.00000E+00   0.00000E+00   0.11183E+01
   0.10400E+02  -0.73133E-06  -0.73133E-06   0.00000E+00   0.00000E+00   0.11076E+01
   0.10500E+02  -0.57969E-06  -0.57969E-06   0.00000E+00   0.00000E+00   0.10970E+01
   0.10600E+02  -0.45957E-06  -0.45957E-06   0.00000E+00   0.00000E+00   0.10867E+01
   0.10700E+02  -0.36442E-06  -0.36442E-06   0.00000E+00   0.00000E+00   0.10765E+01
   0.10800E+02  -0.28901E-06  -0.28901E-06   0.00000E+00   0.00000E+00   0.10666E+01
   0.10900E+02  -0.22925E-06  -0.22925E-06   0.00000E+00   0.00000E+00   0.10568E+01
   0.11000E+02  -0.18188E-06  -0.18188E-06   0.00000E+00   0.00000E+00   0.10472E+01
   0.11100E+02  -0.14432E-06  -0.14432E-06   0.00000E+00   0.00000E+00   0.10377E+01
   0.11200E+02  -0.11454E-06  -0.11454E-06   0.00000E+00   0.00000E+00   0.10285E+01
   0.11300E+02  -0.90916E-07  -0.90916E-07   0.00000E+00   0.00000E+00   0.10194E+01
   0.11400E+02  -0.72177E-07  -0.72177E-07   0.00000E+00   0.00000E+00   0.10104E+01
   0.11500E+02  -0.57310E-07  -0.57310E-07   0.00000E+00   0.00000E+00   0.10016E+01
   0.11600E+02  -0.45512E-07  -0.45512E-07   0.00000E+00   0.00000E+00   0.99301E+00
   0.11700E+02  -0.36149E-07  -0.36149E-07   0.00000E+00   0.00000E+00   0.98452E+00
   0.11800E+02  -0.28716E-07  -0.28716E-07   0.00000E+00   0.00000E+00   0.97618E+00
   0.11900E+02  -0.22815E-07  -0.22815E-07   0.00000E+00   0.00000E+00   0.96797E+00
   0.12000E+02  -0.18130E-07  -0.18130E-07   0.00000E+00   0.00000E+00   0.95991E+00
   0.12100E+02  -0.14408E-07  -0.14408E-07   0.00000E+00   0.00000E+00   0.95197E+00
   0.12200E+02  -0.11453E-07  -0.11453E-07   0.00000E+00   0.00000E+00   0.94417E+00
   0.12300E+02  -0.91045E-08  -0.91045E-08   0.00000E+00   0.00000E+00   0.93649E+00
   0.12400E+02  -0.72388E-08  -0.72388E-08   0.00000E+00   0.00000E+00   0.92894E+00
   0.12500E+02  -0.57562E-08  -0.57562E-08   0.00000E+00   0.00000E+00   0.92151E+00
   0.12600E+02  -0.45779E-08  -0.45779E-08   0.00000E+00   0.00000E+00   0.91420E+00
   0.12700E+02  -0.36413E-08  -0.36413E-08   0.00000E+00   0.00000E+00   0.90700E+00
   0.12800E+02  -0.28967E-08  -0.28967E-08   0.00000E+00   0.00000E+00   0.89991E+00
   0.12900E+02  -0.23046E-08  -0.23046E-08   0.00000E+00   0.00000E+00   0.89294E+00
   0.13000E+02  -0.18338E-08  -0.18338E-08   0.00000E+00   0.00000E+00   0.88607E+00
   0.13100E+02  -0.14594E-08  -0.14594E-08   0.00000E+00   0.00000E+00   0.87930E+00
   0.13200E+02  -0.11615E-08  -0.11615E-08   0.00000E+00   0.00000E+00   0.87264E+00
   0.13300E+02  -0.92460E-09  -0.92460E-09   0.00000E+00   0.00000E+00   0.86608E+00
   0.13400E+02  -0.73608E-09  -0.73608E-09   0.00000E+00   0.00000E+00   0.85962E+00
   0.13500E+02  -0.58607E-09  -0.58607E-09   0.00000E+00   0.00000E+00   0.85325E+00
   0.13600E+02  -0.46668E-09  -0.46668E-09   0.00000E+00   0.00000E+00   0.84698E+00
   0.13700E+02  -0.37166E-09  -0.37166E-09   0.00000E+00   0.00000E+00   0.84079E+00
   0.13800E+02  -0.29602E-09  -0.29602E-09   0.00000E+00   0.00000E+00   0.83470E+00
   0.13900E+02  -0.23580E-09  -0.23580E-09   0.00000E+00   0.00000E+00   0.82870E+00
   0.14000E+02  -0.18785E-09  -0.18785E-09   0.00000E+00   0.00000E+00   0.82278E+00
   0.14100E+02  -0.14967E-09  -0.14967E-09   0.00000E+00   0.00000E+00   0.81694E+00
   0.14200E+02  -0.11926E-09  -0.11926E-09   0.00000E+00   0.00000E+00   0.81119E+00
   0.14300E+02  -0.95039E-10  -0.95039E-10   0.00000E+00   0.00000E+00   0.80552E+00
   0.14400E+02  -0.75746E-10  -0.75746E-10   0.00000E+00   0.00000E+00   0.79992E+00
   0.14500E+02  -0.60375E-10  -0.60375E-10   0.00000E+00   0.00000E+00   0.79441E+00
   0.14600E+02  -0.48129E-10  -0.48129E-10   0.00000E+00   0.00000E+00   0.78896E+00
   0.14700E+02  -0.38370E-10  -0.38370E-10   0.00000E+00   0.00000E+00   0.78360E+00
   0.14800E+02  -0.30593E-10  -0.30593E-10   0.00000E+00   0.00000E+00   0.77830E+00
   0.14900E+02  -0.24395E-10  -0.24395E-10   0.00000E+00   0.00000E+00   0.77308E+00
   0.15000E+02  -0.19454E-10  -0.19454E-10   0.00000E+00   0.00000E+00   0.76793E+00
   0.15100E+02  -0.15515E-10  -0.15515E-10   0.00000E+00   0.00000E+00   0.76284E+00
   0.15200E+02  -0.12375E-10  -0.12375E-10   0.00000E+00   0.00000E+00   0.75782E+00
   0.15300E+02  -0.98717E-11  -0.98717E-11   0.00000E+00   0.00000E+00   0.75287E+00
   0.15400E+02  -0.78752E-11  -0.78752E-11   0.00000E+00   0.00000E+00   0.74798E+00
   0.15500E+02  -0.62831E-11  -0.62831E-11   0.00000E+00   0.00000E+00   0.74315E+00
   0.15600E+02  -0.50132E-11  -0.50132E-11   0.00000E+00   0.00000E+00   0.73839E+00
   0.15700E+02  -0.40003E-11  -0.40003E-11   0.00000E+00   0.00000E+00   0.73369E+00
   0.15800E+02  -0.31923E-11  -0.31923E-11   0.00000E+00   0.00000E+00   0.72904E+00
   0.15900E+02  -0.25477E-11  -0.25477E-11   0.00000E+00   0.00000E+00   0.72446E+00
   0.16000E+02  -0.20334E-11  -0.20334E-11   0.00000E+00   0.00000E+00   0.71993E+00
   0.16100E+02  -0.16230E-11  -0.16230E-11   0.00000E+00   0.00000E+00   0.71546E+00
   0.16200E+02  -0.12955E-11  -0.12955E-11   0.00000E+00   0.00000E+00   0.71104E+00
   0.16300E+02  -0.10341E-11  -0.10341E-11   0.00000E+00   0.00000E+00   0.70668E+00
   0.16400E+02  -0.82554E-12  -0.82554E-12   0.00000E+00   0.00000E+00   0.70237E+00
   0.16500E+02  -0.65904E-12  -0.65904E-12   0.00000E+00   0.00000E+00   0.69811E+00
   0.16600E+02  -0.52613E-12  -0.52613E-12   0.00000E+00   0.00000E+00   0.69391E+00
   0.16700E+02  -0.42002E-12  -0.42002E-12   0.00000E+00   0.00000E+00   0.68975E+00
   0.16800E+02  -0.33530E-12  -0.33530E-12   0.00000E+00   0.00000E+00   0.68565E+00
   0.16900E+02  -0.26766E-12  -0.26766E-12   0.00000E+00   0.00000E+00   0.68159E+00
   0.17000E+02  -0.21364E-12  -0.21364E-12   0.00000E+00   0.00000E+00   0.67758E+00
   0.17100E+02  -0.17051E-12  -0.17051E-12   0.00000E+00   0.00000E+00   0.67362E+00
   0.17200E+02  -0.13606E-12  -0.13606E-12   0.00000E+00   0.00000E+00   0.66970E+00
   0.17300E+02  -0.10855E-12  -0.10855E-12   0.00000E+00   0.00000E+00   0.66583E+00
   0.17400E+02  -0.86578E-13  -0.86578E-13   0.00000E+00   0.00000E+00   0.66200E+00
   0.17500E+02  -0.69026E-13  -0.69026E-13   0.00000E+00   0.00000E+00   0.65822E+00
   0.17600E+02  -0.55006E-13  -0.55006E-13   0.00000E+00   0.00000E+00   0.65448E+00
   0.17700E+02  -0.43806E-13  -0.43806E-13   0.00000E+00   0.00000E+00   0.65078E+00
   0.17800E+02  -0.34859E-13  -0.34859E-13   0.00000E+00   0.00000E+00   0.64713E+00
   0.17900E+02  -0.27711E-13  -0.27711E-13   0.00000E+00   0.00000E+00   0.64351E+00
   0.18000E+02  -0.22002E-13  -0.22002E-13   0.00000E+00   0.00000E+00   0.63994E+00
   0.18100E+02  -0.17441E-13  -0.17441E-13   0.00000E+00   0.00000E+00   0.63640E+00
   0.18200E+02  -0.13798E-13  -0.13798E-13   0.00000E+00   0.00000E+00   0.63291E+00
