# r     V(p)     V(n)     m*(p)/m     m*(n)/m    VC 
   0.63000E+01  -0.28889E+00  -0.32348E+00   0.00000E+00   0.00000E+00   0.45008E+01
   0.64000E+01  -0.23175E+00  -0.26111E+00   0.00000E+00   0.00000E+00   0.44344E+01
   0.65000E+01  -0.18603E+00  -0.21092E+00   0.00000E+00   0.00000E+00   0.43699E+01
   0.66000E+01  -0.14943E+00  -0.17052E+00   0.00000E+00   0.00000E+00   0.43070E+01
   0.67000E+01  -0.12012E+00  -0.13797E+00   0.00000E+00   0.00000E+00   0.42459E+01
   0.68000E+01  -0.96625E-01  -0.11173E+00   0.00000E+00   0.00000E+00   0.41863E+01
   0.69000E+01  -0.77789E-01  -0.90555E-01   0.00000E+00   0.00000E+00   0.41283E+01
   0.70000E+01  -0.62674E-01  -0.73463E-01   0.00000E+00   0.00000E+00   0.40718E+01
   0.71000E+01  -0.50538E-01  -0.59650E-01   0.00000E+00   0.00000E+00   0.40167E+01
   0.72000E+01  -0.40785E-01  -0.48479E-01   0.00000E+00   0.00000E+00   0.39630E+01
   0.73000E+01  -0.32943E-01  -0.39437E-01   0.00000E+00   0.00000E+00   0.39107E+01
   0.74000E+01  -0.26630E-01  -0.32111E-01   0.00000E+00   0.00000E+00   0.38597E+01
   0.75000E+01  -0.21546E-01  -0.26170E-01   0.00000E+00   0.00000E+00   0.38099E+01
   0.76000E+01  -0.17447E-01  -0.21347E-01   0.00000E+00   0.00000E+00   0.37614E+01
   0.77000E+01  -0.14141E-01  -0.17430E-01   0.00000E+00   0.00000E+00   0.37140E+01
   0.78000E+01  -0.11470E-01  -0.14244E-01   0.00000E+00   0.00000E+00   0.36677E+01
   0.79000E+01  -0.93123E-02  -0.11651E-01   0.00000E+00   0.00000E+00   0.36226E+01
   0.80000E+01  -0.75667E-02  -0.95389E-02   0.00000E+00   0.00000E+00   0.35785E+01
   0.81000E+01  -0.61536E-02  -0.78165E-02   0.00000E+00   0.00000E+00   0.35354E+01
   0.82000E+01  -0.50087E-02  -0.64107E-02   0.00000E+00   0.00000E+00   0.34933E+01
   0.83000E+01  -0.40802E-02  -0.52623E-02   0.00000E+00   0.00000E+00   0.34522E+01
   0.84000E+01  -0.33267E-02  -0.43234E-02   0.00000E+00   0.00000E+00   0.34119E+01
   0.85000E+01  -0.27145E-02  -0.35550E-02   0.00000E+00   0.00000E+00   0.33726E+01
   0.86000E+01  -0.22169E-02  -0.29256E-02   0.00000E+00   0.00000E+00   0.33342E+01
   0.87000E+01  -0.18120E-02  -0.24097E-02   0.00000E+00   0.00000E+00   0.32966E+01
   0.88000E+01  -0.14822E-02  -0.19863E-02   0.00000E+00   0.00000E+00   0.32598E+01
   0.89000E+01  -0.12135E-02  -0.16387E-02   0.00000E+00   0.00000E+00   0.32238E+01
   0.90000E+01  -0.99428E-03  -0.13530E-02   0.00000E+00   0.00000E+00   0.31886E+01
   0.91000E+01  -0.81532E-03  -0.11179E-02   0.00000E+00   0.00000E+00   0.31541E+01
   0.92000E+01  -0.66910E-03  -0.92442E-03   0.00000E+00   0.00000E+00   0.31204E+01
   0.93000E+01  -0.54953E-03  -0.76500E-03   0.00000E+00   0.00000E+00   0.30873E+01
   0.94000E+01  -0.45169E-03  -0.63354E-03   0.00000E+00   0.00000E+00   0.30549E+01
   0.95000E+01  -0.37155E-03  -0.52506E-03   0.00000E+00   0.00000E+00   0.30232E+01
   0.96000E+01  -0.30586E-03  -0.43546E-03   0.00000E+00   0.00000E+00   0.29921E+01
   0.97000E+01  -0.25198E-03  -0.36141E-03   0.00000E+00   0.00000E+00   0.29616E+01
   0.98000E+01  -0.20775E-03  -0.30016E-03   0.00000E+00   0.00000E+00   0.29317E+01
   0.99000E+01  -0.17141E-03  -0.24946E-03   0.00000E+00   0.00000E+00   0.29025E+01
   0.10000E+02  -0.14153E-03  -0.20747E-03   0.00000E+00   0.00000E+00   0.28737E+01
   0.10100E+02  -0.11694E-03  -0.17266E-03   0.00000E+00   0.00000E+00   0.28456E+01
   0.10200E+02  -0.96695E-04  -0.14378E-03   0.00000E+00   0.00000E+00   0.28180E+01
   0.10300E+02  -0.80012E-04  -0.11981E-03   0.00000E+00   0.00000E+00   0.27909E+01
   0.10400E+02  -0.66254E-04  -0.99898E-04   0.00000E+00   0.00000E+00   0.27643E+01
   0.10500E+02  -0.54900E-04  -0.83347E-04   0.00000E+00   0.00000E+00   0.27382E+01
   0.10600E+02  -0.45522E-04  -0.69580E-04   0.00000E+00   0.00000E+00   0.27126E+01
   0.10700E+02  -0.37773E-04  -0.58122E-04   0.00000E+00   0.00000E+00   0.26874E+01
   0.10800E+02  -0.31363E-04  -0.48579E-04   0.00000E+00   0.00000E+00   0.26627E+01
   0.10900E+02  -0.26059E-04  -0.40626E-04   0.00000E+00   0.00000E+00   0.26385E+01
   0.11000E+02  -0.21666E-04  -0.33994E-04   0.00000E+00   0.00000E+00   0.26146E+01
   0.11100E+02  -0.18025E-04  -0.28460E-04   0.00000E+00   0.00000E+00   0.25912E+01
   0.11200E+02  -0.15005E-04  -0.23841E-04   0.00000E+00   0.00000E+00   0.25683E+01
   0.11300E+02  -0.12500E-04  -0.19981E-04   0.00000E+00   0.00000E+00   0.25457E+01
   0.11400E+02  -0.10419E-04  -0.16755E-04   0.00000E+00   0.00000E+00   0.25235E+01
   0.11500E+02  -0.86898E-05  -0.14057E-04   0.00000E+00   0.00000E+00   0.25016E+01
   0.11600E+02  -0.72520E-05  -0.11800E-04   0.00000E+00   0.00000E+00   0.24802E+01
   0.11700E+02  -0.60558E-05  -0.99098E-05   0.00000E+00   0.00000E+00   0.24591E+01
   0.11800E+02  -0.50598E-05  -0.83264E-05   0.00000E+00   0.00000E+00   0.24384E+01
   0.11900E+02  -0.42301E-05  -0.69994E-05   0.00000E+00   0.00000E+00   0.24180E+01
   0.12000E+02  -0.35385E-05  -0.58865E-05   0.00000E+00   0.00000E+00   0.23979E+01
   0.12100E+02  -0.29616E-05  -0.49529E-05   0.00000E+00   0.00000E+00   0.23782E+01
   0.12200E+02  -0.24802E-05  -0.41692E-05   0.00000E+00   0.00000E+00   0.23588E+01
   0.12300E+02  -0.20781E-05  -0.35111E-05   0.00000E+00   0.00000E+00   0.23397E+01
   0.12400E+02  -0.17422E-05  -0.29581E-05   0.00000E+00   0.00000E+00   0.23209E+01
   0.12500E+02  -0.14613E-05  -0.24932E-05   0.00000E+00   0.00000E+00   0.23024E+01
   0.12600E+02  -0.12263E-05  -0.21023E-05   0.00000E+00   0.00000E+00   0.22842E+01
   0.12700E+02  -0.10297E-05  -0.17734E-05   0.00000E+00   0.00000E+00   0.22663E+01
   0.12800E+02  -0.86502E-06  -0.14965E-05   0.00000E+00   0.00000E+00   0.22486E+01
   0.12900E+02  -0.72704E-06  -0.12634E-05   0.00000E+00   0.00000E+00   0.22312E+01
   0.13000E+02  -0.61136E-06  -0.10670E-05   0.00000E+00   0.00000E+00   0.22141E+01
   0.13100E+02  -0.51434E-06  -0.90141E-06   0.00000E+00   0.00000E+00   0.21973E+01
   0.13200E+02  -0.43291E-06  -0.76183E-06   0.00000E+00   0.00000E+00   0.21807E+01
   0.13300E+02  -0.36455E-06  -0.64409E-06   0.00000E+00   0.00000E+00   0.21643E+01
   0.13400E+02  -0.30712E-06  -0.54474E-06   0.00000E+00   0.00000E+00   0.21482E+01
   0.13500E+02  -0.25885E-06  -0.46088E-06   0.00000E+00   0.00000E+00   0.21323E+01
   0.13600E+02  -0.21826E-06  -0.39005E-06   0.00000E+00   0.00000E+00   0.21167E+01
   0.13700E+02  -0.18412E-06  -0.33022E-06   0.00000E+00   0.00000E+00   0.21013E+01
   0.13800E+02  -0.15538E-06  -0.27966E-06   0.00000E+00   0.00000E+00   0.20861E+01
   0.13900E+02  -0.13118E-06  -0.23691E-06   0.00000E+00   0.00000E+00   0.20711E+01
   0.14000E+02  -0.11079E-06  -0.20076E-06   0.00000E+00   0.00000E+00   0.20563E+01
   0.14100E+02  -0.93612E-07  -0.17018E-06   0.00000E+00   0.00000E+00   0.20418E+01
   0.14200E+02  -0.79126E-07  -0.14429E-06   0.00000E+00   0.00000E+00   0.20274E+01
   0.14300E+02  -0.66907E-07  -0.12238E-06   0.00000E+00   0.00000E+00   0.20133E+01
   0.14400E+02  -0.56595E-07  -0.10383E-06   0.00000E+00   0.00000E+00   0.19993E+01
   0.14500E+02  -0.47890E-07  -0.88112E-07   0.00000E+00   0.00000E+00   0.19856E+01
   0.14600E+02  -0.40538E-07  -0.74793E-07   0.00000E+00   0.00000E+00   0.19720E+01
   0.14700E+02  -0.34326E-07  -0.63504E-07   0.00000E+00   0.00000E+00   0.19586E+01
   0.14800E+02  -0.29075E-07  -0.53932E-07   0.00000E+00   0.00000E+00   0.19454E+01
   0.14900E+02  -0.24636E-07  -0.45814E-07   0.00000E+00   0.00000E+00   0.19323E+01
   0.15000E+02  -0.20881E-07  -0.38927E-07   0.00000E+00   0.00000E+00   0.19195E+01
   0.15100E+02  -0.17703E-07  -0.33083E-07   0.00000E+00   0.00000E+00   0.19068E+01
   0.15200E+02  -0.15014E-07  -0.28122E-07   0.00000E+00   0.00000E+00   0.18942E+01
   0.15300E+02  -0.12736E-07  -0.23909E-07   0.00000E+00   0.00000E+00   0.18819E+01
   0.15400E+02  -0.10807E-07  -0.20332E-07   0.00000E+00   0.00000E+00   0.18697E+01
   0.15500E+02  -0.91722E-08  -0.17293E-07   0.00000E+00   0.00000E+00   0.18576E+01
   0.15600E+02  -0.77865E-08  -0.14710E-07   0.00000E+00   0.00000E+00   0.18457E+01
   0.15700E+02  -0.66116E-08  -0.12515E-07   0.00000E+00   0.00000E+00   0.18340E+01
   0.15800E+02  -0.56150E-08  -0.10649E-07   0.00000E+00   0.00000E+00   0.18224E+01
   0.15900E+02  -0.47695E-08  -0.90623E-08   0.00000E+00   0.00000E+00   0.18109E+01
