# r     V(p)     V(n)     m*(p)/m     m*(n)/m    VC 
   0.61000E+01  -0.82542E-01  -0.90749E-01  -0.33530E-02  -0.33530E-02   0.18429E+01
   0.62000E+01  -0.66266E-01  -0.73207E-01  -0.26439E-02  -0.26439E-02   0.18156E+01
   0.63000E+01  -0.53249E-01  -0.59117E-01  -0.20877E-02  -0.20877E-02   0.17890E+01
   0.64000E+01  -0.42829E-01  -0.47786E-01  -0.16508E-02  -0.16508E-02   0.17631E+01
   0.65000E+01  -0.34479E-01  -0.38667E-01  -0.13071E-02  -0.13071E-02   0.17379E+01
   0.66000E+01  -0.27783E-01  -0.31318E-01  -0.10363E-02  -0.10363E-02   0.17133E+01
   0.67000E+01  -0.22407E-01  -0.25391E-01  -0.82267E-03  -0.82267E-03   0.16894E+01
   0.68000E+01  -0.18087E-01  -0.20606E-01  -0.65391E-03  -0.65391E-03   0.16661E+01
   0.69000E+01  -0.14613E-01  -0.16738E-01  -0.52042E-03  -0.52042E-03   0.16434E+01
   0.70000E+01  -0.11817E-01  -0.13610E-01  -0.41468E-03  -0.41468E-03   0.16212E+01
   0.71000E+01  -0.95635E-02  -0.11076E-01  -0.33082E-03  -0.33082E-03   0.15997E+01
   0.72000E+01  -0.77463E-02  -0.90218E-02  -0.26423E-03  -0.26423E-03   0.15786E+01
   0.73000E+01  -0.62796E-02  -0.73553E-02  -0.21128E-03  -0.21128E-03   0.15581E+01
   0.74000E+01  -0.50947E-02  -0.60019E-02  -0.16913E-03  -0.16913E-03   0.15380E+01
   0.75000E+01  -0.41366E-02  -0.49017E-02  -0.13553E-03  -0.13553E-03   0.15185E+01
   0.76000E+01  -0.33614E-02  -0.40065E-02  -0.10873E-03  -0.10873E-03   0.14994E+01
   0.77000E+01  -0.27335E-02  -0.32775E-02  -0.87316E-04  -0.87316E-04   0.14807E+01
   0.78000E+01  -0.22245E-02  -0.26833E-02  -0.70192E-04  -0.70192E-04   0.14625E+01
   0.79000E+01  -0.18117E-02  -0.21986E-02  -0.56482E-04  -0.56482E-04   0.14447E+01
   0.80000E+01  -0.14765E-02  -0.18028E-02  -0.45494E-04  -0.45494E-04   0.14273E+01
   0.81000E+01  -0.12042E-02  -0.14794E-02  -0.36679E-04  -0.36679E-04   0.14103E+01
   0.82000E+01  -0.98281E-03  -0.12150E-02  -0.29600E-04  -0.29600E-04   0.13937E+01
   0.83000E+01  -0.80266E-03  -0.99850E-03  -0.23909E-04  -0.23909E-04   0.13775E+01
   0.84000E+01  -0.65597E-03  -0.82118E-03  -0.19330E-04  -0.19330E-04   0.13616E+01
   0.85000E+01  -0.53644E-03  -0.67583E-03  -0.15641E-04  -0.15641E-04   0.13461E+01
   0.86000E+01  -0.43898E-03  -0.55659E-03  -0.12667E-04  -0.12667E-04   0.13309E+01
   0.87000E+01  -0.35945E-03  -0.45870E-03  -0.10267E-04  -0.10267E-04   0.13160E+01
   0.88000E+01  -0.29451E-03  -0.37828E-03  -0.83293E-05  -0.83293E-05   0.13015E+01
   0.89000E+01  -0.24145E-03  -0.31215E-03  -0.67624E-05  -0.67624E-05   0.12872E+01
   0.90000E+01  -0.19807E-03  -0.25775E-03  -0.54947E-05  -0.54947E-05   0.12733E+01
   0.91000E+01  -0.16258E-03  -0.21297E-03  -0.44681E-05  -0.44681E-05   0.12596E+01
   0.92000E+01  -0.13352E-03  -0.17607E-03  -0.36361E-05  -0.36361E-05   0.12462E+01
   0.93000E+01  -0.10973E-03  -0.14565E-03  -0.29613E-05  -0.29613E-05   0.12331E+01
   0.94000E+01  -0.90218E-04  -0.12056E-03  -0.24135E-05  -0.24135E-05   0.12202E+01
   0.95000E+01  -0.74219E-04  -0.99851E-04  -0.19684E-05  -0.19684E-05   0.12077E+01
   0.96000E+01  -0.61090E-04  -0.82744E-04  -0.16066E-05  -0.16066E-05   0.11953E+01
   0.97000E+01  -0.50311E-04  -0.68606E-04  -0.13121E-05  -0.13121E-05   0.11832E+01
   0.98000E+01  -0.41455E-04  -0.56915E-04  -0.10724E-05  -0.10724E-05   0.11714E+01
   0.99000E+01  -0.34175E-04  -0.47241E-04  -0.87707E-06  -0.87707E-06   0.11597E+01
   0.10000E+02  -0.28188E-04  -0.39232E-04  -0.71778E-06  -0.71778E-06   0.11483E+01
   0.10100E+02  -0.23261E-04  -0.32597E-04  -0.58780E-06  -0.58780E-06   0.11371E+01
   0.10200E+02  -0.19205E-04  -0.27098E-04  -0.48166E-06  -0.48166E-06   0.11261E+01
