# r     V(p)     V(n)     m*(p)/m     m*(n)/m    VC 
   0.63000E+01  -0.24754E+00  -0.24754E+00   0.00000E+00   0.00000E+00   0.45707E+01
   0.64000E+01  -0.19728E+00  -0.19728E+00   0.00000E+00   0.00000E+00   0.44993E+01
   0.65000E+01  -0.15729E+00  -0.15729E+00   0.00000E+00   0.00000E+00   0.44301E+01
   0.66000E+01  -0.12546E+00  -0.12546E+00   0.00000E+00   0.00000E+00   0.43631E+01
   0.67000E+01  -0.10012E+00  -0.10012E+00   0.00000E+00   0.00000E+00   0.42980E+01
   0.68000E+01  -0.79933E-01  -0.79933E-01   0.00000E+00   0.00000E+00   0.42348E+01
   0.69000E+01  -0.63852E-01  -0.63852E-01   0.00000E+00   0.00000E+00   0.41734E+01
   0.70000E+01  -0.51034E-01  -0.51034E-01   0.00000E+00   0.00000E+00   0.41138E+01
   0.71000E+01  -0.40811E-01  -0.40811E-01   0.00000E+00   0.00000E+00   0.40559E+01
   0.72000E+01  -0.32654E-01  -0.32654E-01   0.00000E+00   0.00000E+00   0.39996E+01
   0.73000E+01  -0.26141E-01  -0.26141E-01   0.00000E+00   0.00000E+00   0.39448E+01
   0.74000E+01  -0.20940E-01  -0.20940E-01   0.00000E+00   0.00000E+00   0.38915E+01
   0.75000E+01  -0.16783E-01  -0.16783E-01   0.00000E+00   0.00000E+00   0.38396E+01
   0.76000E+01  -0.13458E-01  -0.13458E-01   0.00000E+00   0.00000E+00   0.37891E+01
   0.77000E+01  -0.10798E-01  -0.10798E-01   0.00000E+00   0.00000E+00   0.37399E+01
   0.78000E+01  -0.86691E-02  -0.86691E-02   0.00000E+00   0.00000E+00   0.36919E+01
   0.79000E+01  -0.69634E-02  -0.69634E-02   0.00000E+00   0.00000E+00   0.36452E+01
   0.80000E+01  -0.55964E-02  -0.55964E-02   0.00000E+00   0.00000E+00   0.35996E+01
   0.81000E+01  -0.45002E-02  -0.45002E-02   0.00000E+00   0.00000E+00   0.35552E+01
   0.82000E+01  -0.36206E-02  -0.36206E-02   0.00000E+00   0.00000E+00   0.35118E+01
   0.83000E+01  -0.29145E-02  -0.29145E-02   0.00000E+00   0.00000E+00   0.34695E+01
   0.84000E+01  -0.23473E-02  -0.23473E-02   0.00000E+00   0.00000E+00   0.34282E+01
   0.85000E+01  -0.18914E-02  -0.18914E-02   0.00000E+00   0.00000E+00   0.33879E+01
   0.86000E+01  -0.15249E-02  -0.15249E-02   0.00000E+00   0.00000E+00   0.33485E+01
   0.87000E+01  -0.12299E-02  -0.12299E-02   0.00000E+00   0.00000E+00   0.33100E+01
   0.88000E+01  -0.99255E-03  -0.99255E-03   0.00000E+00   0.00000E+00   0.32724E+01
   0.89000E+01  -0.80136E-03  -0.80136E-03   0.00000E+00   0.00000E+00   0.32356E+01
   0.90000E+01  -0.64730E-03  -0.64730E-03   0.00000E+00   0.00000E+00   0.31997E+01
   0.91000E+01  -0.52310E-03  -0.52310E-03   0.00000E+00   0.00000E+00   0.31645E+01
   0.92000E+01  -0.42292E-03  -0.42292E-03   0.00000E+00   0.00000E+00   0.31301E+01
   0.93000E+01  -0.34208E-03  -0.34208E-03   0.00000E+00   0.00000E+00   0.30965E+01
   0.94000E+01  -0.27681E-03  -0.27681E-03   0.00000E+00   0.00000E+00   0.30635E+01
   0.95000E+01  -0.22409E-03  -0.22409E-03   0.00000E+00   0.00000E+00   0.30313E+01
   0.96000E+01  -0.18149E-03  -0.18149E-03   0.00000E+00   0.00000E+00   0.29997E+01
   0.97000E+01  -0.14705E-03  -0.14705E-03   0.00000E+00   0.00000E+00   0.29688E+01
   0.98000E+01  -0.11919E-03  -0.11919E-03   0.00000E+00   0.00000E+00   0.29385E+01
   0.99000E+01  -0.96648E-04  -0.96648E-04   0.00000E+00   0.00000E+00   0.29088E+01
   0.10000E+02  -0.78400E-04  -0.78400E-04   0.00000E+00   0.00000E+00   0.28797E+01
   0.10100E+02  -0.63622E-04  -0.63622E-04   0.00000E+00   0.00000E+00   0.28512E+01
   0.10200E+02  -0.51648E-04  -0.51648E-04   0.00000E+00   0.00000E+00   0.28233E+01
   0.10300E+02  -0.41944E-04  -0.41944E-04   0.00000E+00   0.00000E+00   0.27958E+01
   0.10400E+02  -0.34075E-04  -0.34075E-04   0.00000E+00   0.00000E+00   0.27690E+01
   0.10500E+02  -0.27692E-04  -0.27692E-04   0.00000E+00   0.00000E+00   0.27426E+01
   0.10600E+02  -0.22513E-04  -0.22513E-04   0.00000E+00   0.00000E+00   0.27167E+01
   0.10700E+02  -0.18308E-04  -0.18308E-04   0.00000E+00   0.00000E+00   0.26913E+01
   0.10800E+02  -0.14894E-04  -0.14894E-04   0.00000E+00   0.00000E+00   0.26664E+01
   0.10900E+02  -0.12121E-04  -0.12121E-04   0.00000E+00   0.00000E+00   0.26419E+01
   0.11000E+02  -0.98667E-05  -0.98667E-05   0.00000E+00   0.00000E+00   0.26179E+01
   0.11100E+02  -0.80344E-05  -0.80344E-05   0.00000E+00   0.00000E+00   0.25943E+01
   0.11200E+02  -0.65445E-05  -0.65445E-05   0.00000E+00   0.00000E+00   0.25712E+01
   0.11300E+02  -0.53324E-05  -0.53324E-05   0.00000E+00   0.00000E+00   0.25484E+01
   0.11400E+02  -0.43461E-05  -0.43461E-05   0.00000E+00   0.00000E+00   0.25261E+01
   0.11500E+02  -0.35433E-05  -0.35433E-05   0.00000E+00   0.00000E+00   0.25041E+01
   0.11600E+02  -0.28896E-05  -0.28896E-05   0.00000E+00   0.00000E+00   0.24825E+01
   0.11700E+02  -0.23572E-05  -0.23572E-05   0.00000E+00   0.00000E+00   0.24613E+01
   0.11800E+02  -0.19234E-05  -0.19234E-05   0.00000E+00   0.00000E+00   0.24404E+01
   0.11900E+02  -0.15698E-05  -0.15698E-05   0.00000E+00   0.00000E+00   0.24199E+01
   0.12000E+02  -0.12816E-05  -0.12816E-05   0.00000E+00   0.00000E+00   0.23998E+01
   0.12100E+02  -0.10466E-05  -0.10466E-05   0.00000E+00   0.00000E+00   0.23799E+01
   0.12200E+02  -0.85488E-06  -0.85488E-06   0.00000E+00   0.00000E+00   0.23604E+01
   0.12300E+02  -0.69846E-06  -0.69846E-06   0.00000E+00   0.00000E+00   0.23412E+01
