0.1   38699.5
0.163   -89.5263
0.226   289.674
0.289   -75.7523
0.352   -69.6057
0.415   -65.0086
0.478   -66.6047
0.541   -66.7844
0.604   -65.7285
0.667   -65.0541
0.73   -64.3191
0.793   -63.5126
0.856   -62.8315
0.919   -62.4002
0.981999   -62.2337
1.045   -62.3817
1.108   -62.9071
1.171   -63.7087
1.234   -64.6975
1.297   -65.8436
1.36   -66.7372
1.423   -67.3637
1.486   -67.3022
1.549   -66.2718
1.612   -64.2154
1.675   -60.7037
1.738   -56.0512
1.801   -49.8232
1.864   -42.865
1.927   -34.8796
1.99   -26.4034
2.053   -18.1186
2.116   -9.51104
2.179   -1.81633
2.242   5.56329
2.305   12.0925
2.368   17.918
2.431   23.0528
2.494   27.1182
2.557   31.1219
2.62   33.9016
2.683   36.4962
2.746   38.9028
2.809   40.0426
2.872   41.9322
2.935   43.0809
2.998   43.5063
3.061   44.8777
3.124   45.1394
3.187   45.5645
3.25   46.3677
3.313   46.1228
3.376   46.7815
3.439   47.0665
3.502   46.6861
3.565   47.4401
3.628   47.3264
3.691   47.1732
3.754   47.7334
3.817   47.378
3.88   47.6157
3.943   47.8394
4.006   47.4102
4.069   47.9418
4.132   47.8534
4.195   47.5662
4.258   48.1131
4.321   47.827
4.384   47.8606
4.447   48.1722
4.51   47.8195
4.573   48.1816
4.636   48.1912
4.699   47.9057
4.762   48.4172
4.825   48.1942
4.888   48.1255
4.951   48.5124
5.014   48.1947
5.077   48.3944
5.14   48.4916
5.203   48.1916
5.266   48.5743
5.329   48.3689
5.392   48.1935
5.455   48.5351
5.518   48.1464
5.581   48.1536
5.644   48.2516
5.707   47.8346
5.77   48.0137
5.833   47.8071
5.896   47.5125
5.959   47.7715
6.022   47.3736
6.085   47.3201
6.148   47.5191
6.211   764.244
6.274   45.3947
6.337   39100.4
