0.10	-1.9214198992E+01
0.20	-1.9094583105E+01
0.30	-1.8957357374E+01
0.40	-1.8743215598E+01
0.50	-1.8461322901E+01
0.60	-1.8122410579E+01
0.70	-1.7746703929E+01
0.80	-1.7332806547E+01
0.90	-1.6888269577E+01
1.00	-1.6426240193E+01
1.10	-1.5951083011E+01
1.20	-1.5469194314E+01
1.30	-1.4993154321E+01
1.40	-1.4519748904E+01
1.50	-1.4065595757E+01
1.60	-1.3624978636E+01
1.70	-1.3208361552E+01
1.80	-1.2815170487E+01
1.90	-1.2450119918E+01
2.00	-1.2114573376E+01
2.10	-1.1806338490E+01
2.20	-1.1530900587E+01
2.30	-1.1285043564E+01
2.40	-1.1065238781E+01
2.50	-1.0880527680E+01
2.60	-1.0719563080E+01
2.70	-1.0580988430E+01
2.80	-1.0468244882E+01
2.90	-1.0374043600E+01
3.00	-1.0294281597E+01
3.10	-1.0228866324E+01
3.20	-1.0166021020E+01
3.30	-1.0103035474E+01
3.40	-1.0038088431E+01
3.50	-9.9544468713E+00
3.60	-9.8513089166E+00
3.70	-9.7191509646E+00
3.80	-9.5457430168E+00
3.90	-9.3243846724E+00
4.00	-9.0483029343E+00
4.10	-8.7035334367E+00
4.20	-8.2903258261E+00
4.30	-7.7998026371E+00
4.40	-7.2257125005E+00
4.50	-6.5829238099E+00
4.60	-5.8595007386E+00
4.70	-5.0622365312E+00
4.80	-4.2278054844E+00
4.90	-3.3381231485E+00
5.00	-2.4178751873E+00
5.10	-1.5033898018E+00
5.20	-5.8345077001E-01
5.30	3.1787111539E-01
5.40	1.1708501378E+00
5.50	1.9889941222E+00
5.60	2.7476282723E+00
5.70	3.4469019107E+00
5.80	4.0897259188E+00
5.90	4.6565507062E+00
6.00	5.1696994168E+00
6.10	5.6328331880E+00
6.20	6.0179119019E+00
6.30	6.3640140122E+00
6.40	6.6773046595E+00
6.50	6.9198074167E+00
6.60	7.1359060818E+00
6.70	7.3413657469E+00
6.80	7.4846770708E+00
6.90	7.6062118551E+00
7.00	7.7380216290E+00
7.10	7.8168498083E+00
7.20	7.8765461722E+00
7.30	7.9581318847E+00
7.40	7.9981589559E+00
7.50	8.0162407407E+00
7.60	8.0656678549E+00
7.70	8.0831938306E+00
7.80	8.0750493795E+00
7.90	8.1018156530E+00
8.00	8.1067603835E+00
8.10	8.0847854072E+00
8.20	8.0946055111E+00
8.30	8.0929139188E+00
8.40	8.0633215790E+00
8.50	8.0600028450E+00
8.60	8.0569830565E+00
8.70	8.0229382955E+00
8.80	8.0103089998E+00
8.90	8.0074987777E+00
9.00	7.9720574420E+00
9.10	7.9521556530E+00
9.20	7.9474499363E+00
9.30	7.9155962638E+00
9.40	7.8885996810E+00
9.50	7.8840431441E+00
9.60	7.8547242515E+00
9.70	7.8232200268E+00
9.80	7.8189550477E+00
9.90	7.7931312268E+00
10.00	7.7572860066E+00
10.10	7.7510723323E+00
10.20	7.7284141270E+00
10.30	7.6928885180E+00
10.40	7.6845086675E+00
10.50	7.6644139276E+00
10.60	7.6277520030E+00
10.70	7.6162920325E+00
10.80	7.5996189226E+00
10.90	7.5643678408E+00
11.00	7.5482521754E+00
11.10	7.5333903364E+00
11.20	7.4979969742E+00
11.30	7.4781304316E+00
11.40	7.4637643683E+00
11.50	7.4287033059E+00
11.60	7.4026452068E+00
11.70	7.3873086056E+00
11.80	7.3506897416E+00
11.90	7.3154636580E+00
12.00	7.2944411260E+00
12.10	7.2516035039E+00
12.20	7.2031282235E+00
12.30	7.1693928299E+00
12.40	7.1120505087E+00
12.50	7.0392755183E+00
12.60	6.9779989038E+00
12.70	6.8894541469E+00
12.80	6.7733677187E+00
12.90	6.6563676386E+00
13.00	6.5026922252E+00
13.10	6.3023795843E+00
13.20	6.0778008210E+00
13.30	5.7950936116E+00
13.40	5.4300295600E+00
13.50	4.9958122255E+00
13.60	4.4569241856E+00
13.70	3.7703630066E+00
13.80	2.9301533487E+00
13.90	1.8891793916E+00
14.00	5.8792447766E-01
14.10	-1.0891906965E+00
