1s 1/2	1s 1/2	-2.1665706159E+01
1p 3/2	1p 3/2	-2.1873030835E+01
1p 1/2	1p 1/2	-2.2207496035E+01
1d 5/2	1d 5/2	-2.2741015851E+01
2s 1/2	1s 1/2	-2.3365808761E+01
2s 1/2	2s 1/2	-2.4042564599E+01
1d 3/2	1d 3/2	-2.4730163971E+01
