0   0.333094
0.1   0.337966
0.2   0.342825
0.3   0.347714
0.4   0.352806
0.5   0.357161
0.6   0.359683
0.7   0.35942
0.8   0.355625
0.9   0.347759
1   0.335497
1.1   0.318722
1.2   0.297547
1.3   0.272341
1.4   0.243764
1.5   0.212784
1.6   0.180658
1.7   0.148841
1.8   0.118817
1.9   0.0918799
2   0.0689194
2.1   0.0502978
2.2   0.0358684
2.3   0.0251182
2.4   0.0173585
2.5   0.0118901
2.6   0.0081011
2.7   0.00550508
2.8   0.00373843
2.9   0.0025404
3   0.00172902
3.1   0.0011793
3.2   0.000806353
3.3   0.000552832
3.4   0.000380063
3.5   0.000262015
3.6   0.000181132
3.7   0.000125553
3.8   8.72579e-05
3.9   6.07975e-05
4   4.24647e-05
4.1   2.97305e-05
4.2   2.08624e-05
4.3   1.46716e-05
4.4   1.03397e-05
4.5   7.30161e-06
4.6   5.16626e-06
4.7   3.66228e-06
4.8   2.60081e-06
4.9   1.85021e-06
5   1.31845e-06
5.1   9.41025e-07
5.2   6.72693e-07
5.3   4.81596e-07
5.4   3.45281e-07
5.5   2.47896e-07
5.6   1.78217e-07
5.7   1.28289e-07
5.8   9.24642e-08
5.9   6.67236e-08
6   4.82048e-08
6.1   3.48651e-08
6.2   2.5244e-08
6.3   1.82971e-08
6.4   1.32754e-08
