# 1s 1/2
0.1	-0.057869
	0.222	0.12761
	0.344	0.19671
	0.466	0.26435
	0.588	0.33001
	0.71	0.39302
	0.832	0.45267
	0.954	0.50815
	1.076	0.55864
	1.198	0.60331
	1.32	0.64136
	1.442	0.67211
	1.564	0.69501
	1.686	0.7097
	1.808	0.71609
	1.93	0.71428
	2.052	0.70464
	2.174	0.68773
	2.296	0.6643
	2.418	0.63519
	2.54	0.60134
	2.662	0.56369
	2.784	0.52319
	2.906	0.4807
	3.028	0.43707
	3.15	0.39305
	3.272	0.3493
	3.394	0.30642
	3.516	0.26494
	3.638	0.22531
	3.76	0.18793
	3.882	0.15314
	4.004	0.1212
	4.126	0.092329
	4.248	0.066643
	4.37	0.044197
	4.492	0.024955
	4.614	0.0087995
	4.736	-0.0044628
	4.858	-0.015083
	4.98	-0.023353
	5.102	-0.029581
	5.224	-0.034073
	5.346	-0.03712
	5.468	-0.038986
	5.59	-0.039902
	5.712	-0.040069
	5.834	-0.039652
	5.956	-0.038792
	6.078	-0.037602
	6.2	-0.036175
	6.322	-0.034584
	6.444	-0.032889
	6.566	-0.031136
	6.688	-0.029363
	6.81	-0.027597
	6.932	-0.025861
	7.054	-0.02417
	7.176	-0.022537
	7.298	-0.02097
	7.42	-0.019475
	7.542	-0.018055
	7.664	-0.016712
	7.786	-0.015446
	7.908	-0.014257
	8.03	-0.013143
	8.152	-0.012102
	8.274	-0.011131
	8.396	-0.010227
	8.518	-0.009388
	8.64	-0.0086093
	8.762	-0.0078882
	8.884	-0.0072212
	9.006	-0.0066051
	9.128	-0.0060366
	9.25	-0.0055125
	9.372	-0.0050297
	9.494	-0.0045854
	9.616	-0.0041768
	9.738	-0.0038011
	9.86	-0.0034559
	9.982	-0.0031387
	10.104	-0.0028473
	10.226	-0.0025795
	10.348	-0.0023332
	10.47	-0.0021067
	10.592	-0.001898
	10.714	-0.0017055
	10.836	-0.0015276
	10.958	-0.0013627
	11.08	-0.0012094
	11.202	-0.0010663
	11.324	-0.00093204
	11.446	-0.00080534
	11.568	-0.00068496
	11.69	-0.00056966
	11.812	-0.00045825
	11.934	-0.00034959
	12.056	-0.0002426
	12.178	-0.00013638
# 1p 3/2
0.1	-0.0031074
	0.222	0.010667
	0.344	0.02141
	0.466	0.03765
	0.588	0.058759
	0.71	0.084398
	0.832	0.1142
	0.954	0.14772
	1.076	0.18443
	1.198	0.22367
	1.32	0.26473
	1.442	0.30682
	1.564	0.34908
	1.686	0.39068
	1.808	0.43079
	1.93	0.46868
	2.052	0.5037
	2.174	0.53529
	2.296	0.56306
	2.418	0.5867
	2.54	0.60602
	2.662	0.62093
	2.784	0.63139
	2.906	0.63741
	3.028	0.63905
	3.15	0.63638
	3.272	0.62948
	3.394	0.61845
	3.516	0.60344
	3.638	0.5846
	3.76	0.56218
	3.882	0.53649
	4.004	0.50792
	4.126	0.47697
	4.248	0.44423
	4.37	0.41037
	4.492	0.37611
	4.614	0.34213
	4.736	0.30908
	4.858	0.2775
	4.98	0.24781
	5.102	0.2203
	5.224	0.19512
	5.346	0.17229
	5.468	0.15178
	5.59	0.13346
	5.712	0.1172
	5.834	0.10282
	5.956	0.090144
	6.078	0.078993
	6.2	0.069202
	6.322	0.060616
	6.444	0.053093
	6.566	0.046505
	6.688	0.040738
	6.81	0.035692
	6.932	0.031275
	7.054	0.027411
	7.176	0.024029
	7.298	0.021069
	7.42	0.018477
	7.542	0.016208
	7.664	0.014221
	7.786	0.01248
	7.908	0.010955
	8.03	0.0096191
	8.152	0.0084476
	8.274	0.0074206
	8.396	0.0065199
	8.518	0.0057298
	8.64	0.0050367
	8.762	0.0044284
	8.884	0.0038945
	9.006	0.0034258
	9.128	0.0030143
	9.25	0.0026528
	9.372	0.0023353
	9.494	0.0020564
	9.616	0.0018113
	9.738	0.001596
	9.86	0.0014067
	9.982	0.0012403
	10.104	0.0010941
	10.226	0.00096556
	10.348	0.00085256
	10.47	0.00075324
	10.592	0.00066594
	10.714	0.00058922
	10.836	0.0005218
	10.958	0.00046257
	11.08	0.00041055
	11.202	0.00036485
	11.324	0.00032472
	11.446	0.00028946
	11.568	0.00025845
	11.69	0.00023114
	11.812	0.000207
